"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","AGE","SOS SEASON","ECR VS. ADP"
"32",5,"Josh Jacobs",LV,"RB10","13","25","3 out of 5 stars","-"
"33",5,"C.J. Stroud",HOU,"QB10","7","22","3 out of 5 stars","-"
"34",5,"Travis Kelce",KC,"TE2","10","34","4 out of 5 stars","-"
"35",5,"DK Metcalf",SEA,"WR13","5","25","2 out of 5 stars","-"
"36",5,"Tee Higgins",CIN,"WR14","7","24","3 out of 5 stars","-"
"37",5,"Justin Fields",CHI,"QB11","13","24","3 out of 5 stars","-"
"38",5,"Rhamondre Stevenson",NE,"RB11","11","25","4 out of 5 stars","-"
"39",5,"Cooper Kupp",LAR,"WR15","10","30","3 out of 5 stars","-"
"40",5,"Brandon Aiyuk",SF,"WR16","9","25","2 out of 5 stars","-"
"41",5,"Mark Andrews",BAL,"TE3","13","28","3 out of 5 stars","-"
"42",6,"Davante Adams",LV,"WR17","13","30","4 out of 5 stars","-"
"43",6,"Austin Ekeler",LAC,"RB12","5","28","4 out of 5 stars","-"
"44",6,"Dak Prescott",DAL,"QB12","7","30","5 out of 5 stars","-"
"45",6,"Jaxon Smith-Njigba",SEA,"WR18","5","21","2 out of 5 stars","-"
"46",6,"Kyler Murray",ARI,"QB13","14","26","2 out of 5 stars","-"
"47",6,"Bryce Young",CAR,"QB14","7","22","3 out of 5 stars","-"
"48",6,"DJ Moore",CHI,"WR19","13","26","3 out of 5 stars","-"
"49",6,"Christian Watson",GB,"WR20","6","24","3 out of 5 stars","-"
"50",6,"Deshaun Watson",CLE,"QB15","5","28","3 out of 5 stars","-"
"51",6,"Calvin Ridley",JAC,"WR21","9","28","4 out of 5 stars","-"
"52",6,"Jordan Addison",MIN,"WR22","13","21","3 out of 5 stars","-"
"53",6,"Michael Pittman Jr.",IND,"WR23","11","26","3 out of 5 stars","-"
"54",6,"Javonte Williams",DEN,"RB13","9","23","3 out of 5 stars","-"
"55",6,"T.J. Hockenson",MIN,"TE4","13","26","3 out of 5 stars","-"
"56",6,"Dameon Pierce",HOU,"RB14","7","23","4 out of 5 stars","-"
"57",6,"Daniel Jones",NYG,"QB16","13","26","2 out of 5 stars","-"
"58",6,"Zay Flowers",BAL,"WR24","13","23","2 out of 5 stars","-"
"59",7,"Puka Nacua",LAR,"WR25","10","22","3 out of 5 stars","-"
"60",7,"James Cook",BUF,"RB15","13","24","3 out of 5 stars","-"
"61",7,"Kirk Cousins",MIN,"QB17","13","35","3 out of 5 stars","-"
"62",7,"Deebo Samuel",SF,"WR26","9","27","2 out of 5 stars","-"
"63",7,"Terry McLaurin",WAS,"WR27","14","28","3 out of 5 stars","-"
"64",7,"Rachaad White",TB,"RB16","5","24","3 out of 5 stars","-"
"65",7,"D'Andre Swift",PHI,"RB17","10","24","2 out of 5 stars","-"
"66",7,"Najee Harris",PIT,"RB18","6","25","3 out of 5 stars","-"
"67",7,"Chris Godwin",TB,"WR28","5","27","4 out of 5 stars","-"
"68",7,"Derrick Henry",TEN,"RB19","7","29","5 out of 5 stars","-"
"69",7,"George Pickens",PIT,"WR29","6","22","2 out of 5 stars","-"
"70",7,"Jerry Jeudy",DEN,"WR30","9","24","3 out of 5 stars","-"
"71",7,"Jordan Love",GB,"QB18","6","24","3 out of 5 stars","-"
"72",7,"Geno Smith",SEA,"QB19","5","33","2 out of 5 stars","-"
"73",7,"Jared Goff",DET,"QB20","9","29","3 out of 5 stars","-"
"74",7,"Joe Mixon",CIN,"RB20","7","27","3 out of 5 stars","-"
"75",7,"Aaron Jones",GB,"RB21","6","28","2 out of 5 stars","-"
"76",7,"Brian Robinson Jr.",WAS,"RB22","14","24","2 out of 5 stars","-"
"77",7,"Jahan Dotson",WAS,"WR31","14","23","3 out of 5 stars","-"
"78",7,"Isiah Pacheco",KC,"RB23","10","24","4 out of 5 stars","-"
"79",8,"De'Von Achane",MIA,"RB24","10","22","3 out of 5 stars","-"
"80",8,"David Montgomery",DET,"RB25","9","26","4 out of 5 stars","-"
"81",8,"Marquise Brown",ARI,"WR32","14","26","1 out of 5 stars","-"
"82",8,"Amari Cooper",CLE,"WR33","5","29","3 out of 5 stars","-"
"83",8,"Nico Collins",HOU,"WR34","7","24","3 out of 5 stars","-"
"84",8,"Brock Purdy",SF,"QB21","9","23","4 out of 5 stars","-"
"85",8,"Kenny Pickett",PIT,"QB22","6","25","3 out of 5 stars","-"
"86",8,"Jameson Williams",DET,"WR35","9","22","3 out of 5 stars","-"
"87",8,"Sam LaPorta",DET,"TE5","9","22","3 out of 5 stars","-"
"88",8,"Quentin Johnston",LAC,"WR36","5","22","4 out of 5 stars","-"
"89",8,"Christian Kirk",JAC,"WR37","9","26","4 out of 5 stars","-"
"90",8,"Zach Charbonnet",SEA,"RB26","5","22","1 out of 5 stars","-"
"91",8,"Diontae Johnson",PIT,"WR38","6","27","2 out of 5 stars","-"
"92",8,"Dallas Goedert",PHI,"TE6","10","28","3 out of 5 stars","-"
"93",8,"Keenan Allen",LAC,"WR39","5","31","4 out of 5 stars","-"
"94",8,"George Kittle",SF,"TE7","9","30","3 out of 5 stars","-"
"95",8,"Nick Chubb",CLE,"RB27","5","27","3 out of 5 stars","-"
"96",8,"Derek Carr",NO,"QB23","11","32","3 out of 5 stars","-"
"97",8,"Miles Sanders",CAR,"RB28","7","26","3 out of 5 stars","-"
"98",8,"Alexander Mattison",MIN,"RB29","13","25","4 out of 5 stars","-"
"99",8,"Sam Howell",WAS,"QB24","14","23","5 out of 5 stars","-"
"100",8,"Dalton Kincaid",BUF,"TE8","13","24","3 out of 5 stars","-"
"101",9,"Russell Wilson",DEN,"QB25","9","34","4 out of 5 stars","-"
"102",9,"Rashee Rice",KC,"WR40","10","23","4 out of 5 stars","-"
"103",9,"Gabe Davis",BUF,"WR41","13","24","2 out of 5 stars","-"
"104",9,"Alvin Kamara",NO,"RB30","11","28","4 out of 5 stars","-"
"105",9,"Pat Freiermuth",PIT,"TE9","6","25","3 out of 5 stars","-"
"106",9,"Tyjae Spears",TEN,"RB31","7","22","5 out of 5 stars","-"
"107",9,"Aaron Rodgers",NYJ,"QB26","7","39","3 out of 5 stars","-"
"108",9,"Roschon Johnson",CHI,"RB32","13","22","2 out of 5 stars","-"
"109",9,"Kendre Miller",NO,"RB33","11","21","4 out of 5 stars","-"
"110",9,"Jakobi Meyers",LV,"WR42","13","26","4 out of 5 stars","-"
"111",9,"Treylon Burks",TEN,"WR43","7","23","3 out of 5 stars","-"
"112",9,"Matthew Stafford",LAR,"QB27","10","35","4 out of 5 stars","-"
"113",9,"Marvin Mims Jr.",DEN,"WR44","9","21","3 out of 5 stars","-"
"114",9,"AJ Dillon",GB,"RB34","6","25","2 out of 5 stars","-"
"115",9,"Mike Evans",TB,"WR45","5","30","4 out of 5 stars","-"
"116",9,"DeAndre Hopkins",TEN,"WR46","7","31","3 out of 5 stars","-"
"117",9,"Jayden Reed",GB,"WR47","6","23","3 out of 5 stars","-"
"118",9,"Mac Jones",NE,"QB28","11","25","3 out of 5 stars","-"
"119",9,"Darren Waller",NYG,"TE10","13","31","4 out of 5 stars","-"
"120",9,"Josh Downs",IND,"WR48","11","22","3 out of 5 stars","-"
"121",9,"Khalil Herbert",CHI,"RB35","13","25","2 out of 5 stars","-"
"122",9,"James Conner",ARI,"RB36","14","28","1 out of 5 stars","-"
"123",9,"Jerome Ford",CLE,"RB37","5","24","3 out of 5 stars","-"
"124",9,"Elijah Moore",CLE,"WR49","5","23","3 out of 5 stars","-"
"125",9,"Tank Bigsby",JAC,"RB38","9","22","4 out of 5 stars","-"
"126",9,"Antonio Gibson",WAS,"RB39","14","25","2 out of 5 stars","-"
"127",9,"Trey Lance",DAL,"QB29","7","23","5 out of 5 stars","-"
"128",9,"Desmond Ridder",ATL,"QB30","11","24","3 out of 5 stars","-"
"129",9,"J.K. Dobbins",BAL,"RB40","13","24","3 out of 5 stars","-"
