"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","AGE","SOS SEASON","ECR VS. ADP"
"207",12,"Michael Gallup",DAL,"WR82","7","27","3 out of 5 stars","-"
"208",12,"Eric Gray",NYG,"RB66","13","23","3 out of 5 stars","-"
"209",12,"Adam Thielen",CAR,"WR83","7","33","3 out of 5 stars","-"
"210",12,"Khalil Shakir",BUF,"WR84","13","23","2 out of 5 stars","-"
"211",12,"Luke Schoonmaker",DAL,"TE28","7","25","4 out of 5 stars","-"
"212",12,"Tutu Atwell",LAR,"WR85","10","24","3 out of 5 stars","-"
"213",12,"Darius Slayton",NYG,"WR86","13","26","3 out of 5 stars","-"
"214",12,"Mike Gesicki",NE,"TE29","11","28","3 out of 5 stars","-"
"215",12,"Tyler Scott",CHI,"WR87","13","22","3 out of 5 stars","-"
"216",12,"Gus Edwards",BAL,"RB67","13","28","3 out of 5 stars","-"
"217",12,"Kyren Williams",LAR,"RB68","10","23","3 out of 5 stars","-"
"218",12,"K.J. Osborn",MIN,"WR88","13","26","3 out of 5 stars","-"
"219",12,"Sean Tucker",TB,"RB69","5","22","3 out of 5 stars","-"
"220",12,"Zonovan Knight",DET,"RB70","9","22","4 out of 5 stars","-"
"221",12,"Zamir White",LV,"RB71","13","24","3 out of 5 stars","-"
"222",12,"DeWayne McBride",MIN,"RB72","13","22","4 out of 5 stars","-"
"223",12,"JuJu Smith-Schuster",NE,"WR89","11","26","4 out of 5 stars","-"
"224",12,"Hunter Renfrow",LV,"WR90","13","27","4 out of 5 stars","-"
"225",12,"Irv Smith Jr.",CIN,"TE30","7","25","2 out of 5 stars","-"
"226",12,"Pierre Strong Jr.",CLE,"RB73","5","24","3 out of 5 stars","-"
"227",12,"Taysom Hill",NO,"TE31","11","33","3 out of 5 stars","-"
"228",12,"Hendon Hooker",DET,"QB34","9","25","3 out of 5 stars","-"
"229",12,"Cordarrelle Patterson",ATL,"RB74","11","32","4 out of 5 stars","-"
"230",12,"Deuce Vaughn",DAL,"RB75","7","21","2 out of 5 stars","-"
"231",12,"Baker Mayfield",TB,"QB35","5","28","2 out of 5 stars","-"
